feature,importance,project,model
VCC_w4,0.012664734,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w5,0.012691041,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w6,0.015979689,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w7,0.013973102,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w8,0.011615379,harfbuzz/cross_project/exclude_target,XGBoost
VCC_w9,0.011208635,harfbuzz/cross_project/exclude_target,XGBoost
patch_coverage_recalculated,0.04042883,harfbuzz/cross_project/exclude_target,XGBoost
project_total_branch_percent,0.011473322,harfbuzz/cross_project/exclude_target,XGBoost
project_total_branch_percent_delta,0.013682568,harfbuzz/cross_project/exclude_target,XGBoost
project_total_function_percent,0.014962894,harfbuzz/cross_project/exclude_target,XGBoost
project_total_function_percent_delta,0.015599051,harfbuzz/cross_project/exclude_target,XGBoost
project_total_instantiation_percent,0.016609708,harfbuzz/cross_project/exclude_target,XGBoost
project_total_instantiation_percent_delta,0.018415632,harfbuzz/cross_project/exclude_target,XGBoost
project_total_line_percent,0.014852452,harfbuzz/cross_project/exclude_target,XGBoost
project_total_line_percent_delta,0.016343832,harfbuzz/cross_project/exclude_target,XGBoost
project_total_region_percent,0.014026286,harfbuzz/cross_project/exclude_target,XGBoost
project_total_region_percent_delta,0.02007208,harfbuzz/cross_project/exclude_target,XGBoost
VCC_f10_nb_added_line,0.012929931,icu/cross_project/exclude_target,XGBoost
VCC_f11_nb_removed_line,0.012603685,icu/cross_project/exclude_target,XGBoost
VCC_f12_diff_line,0.013201969,icu/cross_project/exclude_target,XGBoost
VCC_f13_sum_line,0.01280038,icu/cross_project/exclude_target,XGBoost
VCC_f14_nb_added_paren,0.016367335,icu/cross_project/exclude_target,XGBoost
VCC_f15_nb_removed_paren,0.012351619,icu/cross_project/exclude_target,XGBoost
VCC_f16_diff_paren,0.014291457,icu/cross_project/exclude_target,XGBoost
VCC_f17_sum_paren,0.013566969,icu/cross_project/exclude_target,XGBoost
VCC_f18_nb_added_bool,0.01588516,icu/cross_project/exclude_target,XGBoost
VCC_f19_nb_removed_bool,0.013617375,icu/cross_project/exclude_target,XGBoost
VCC_f1_sum_file_change,0.011542827,icu/cross_project/exclude_target,XGBoost
VCC_f20_diff_bool,0.012452771,icu/cross_project/exclude_target,XGBoost
VCC_f21_sum_bool,0.01487403,icu/cross_project/exclude_target,XGBoost
VCC_f22_nb_added_assignement,0.015471587,icu/cross_project/exclude_target,XGBoost
VCC_f23_nb_removed_assignement,0.011313917,icu/cross_project/exclude_target,XGBoost
VCC_f24_diff_assignement,0.013164779,icu/cross_project/exclude_target,XGBoost
VCC_f25_sum_assignement,0.0147759225,icu/cross_project/exclude_target,XGBoost
VCC_f26_nb_added_function,0.012431055,icu/cross_project/exclude_target,XGBoost
VCC_f27_nb_removed_function,0.012295623,icu/cross_project/exclude_target,XGBoost
VCC_f28_diff_function,0.01134822,icu/cross_project/exclude_target,XGBoost
VCC_f29_sum_function,0.012710481,icu/cross_project/exclude_target,XGBoost
VCC_f2_nb_added_loop,0.01790414,icu/cross_project/exclude_target,XGBoost
VCC_f3_nb_removed_loop,0.013868304,icu/cross_project/exclude_target,XGBoost
VCC_f4_diff_loop,0.015014081,icu/cross_project/exclude_target,XGBoost
VCC_f5_sum_loop,0.016019786,icu/cross_project/exclude_target,XGBoost
VCC_f6_nb_added_if,0.017474195,icu/cross_project/exclude_target,XGBoost
VCC_f7_nb_removed_if,0.0119858915,icu/cross_project/exclude_target,XGBoost
VCC_f8_diff_if,0.016068332,icu/cross_project/exclude_target,XGBoost
VCC_f9_sum_if,0.015839828,icu/cross_project/exclude_target,XGBoost
VCC_s10_nb_removed_INTMAX,0.0008886738,icu/cross_project/exclude_target,XGBoost
VCC_s11_nb_added_goto,0.01644176,icu/cross_project/exclude_target,XGBoost
VCC_s12_nb_removed_goto,0.01073706,icu/cross_project/exclude_target,XGBoost
VCC_s13_nb_added_define,0.011965292,icu/cross_project/exclude_target,XGBoost
VCC_s14_nb_removed_define,0.010424282,icu/cross_project/exclude_target,XGBoost
VCC_s15_nb_added_struct,0.010102527,icu/cross_project/exclude_target,XGBoost
VCC_s16_nb_removed_struct,0.0080713285,icu/cross_project/exclude_target,XGBoost
VCC_s17_diff_struct,0.011271107,icu/cross_project/exclude_target,XGBoost
