feature,importance,project,model
VCC_f16_diff_paren,0.02644389,harfbuzz,XGBoost
VCC_f17_sum_paren,0.032939147,harfbuzz,XGBoost
VCC_f18_nb_added_bool,0.05736252,harfbuzz,XGBoost
VCC_f19_nb_removed_bool,0.023406912,harfbuzz,XGBoost
VCC_f1_sum_file_change,0.029925732,harfbuzz,XGBoost
VCC_f20_diff_bool,0.013868787,harfbuzz,XGBoost
VCC_f21_sum_bool,0.048776403,harfbuzz,XGBoost
VCC_f22_nb_added_assignement,0.026491174,harfbuzz,XGBoost
VCC_f23_nb_removed_assignement,0.010125244,harfbuzz,XGBoost
VCC_f24_diff_assignement,0.025665421,harfbuzz,XGBoost
VCC_f25_sum_assignement,0.011862554,harfbuzz,XGBoost
VCC_f26_nb_added_function,0.010372804,harfbuzz,XGBoost
VCC_f27_nb_removed_function,0.006669641,harfbuzz,XGBoost
VCC_f28_diff_function,0.0096304575,harfbuzz,XGBoost
VCC_f29_sum_function,0.010567053,harfbuzz,XGBoost
VCC_f2_nb_added_loop,0.031931292,harfbuzz,XGBoost
VCC_f3_nb_removed_loop,0.008499907,harfbuzz,XGBoost
VCC_f4_diff_loop,0.027219575,harfbuzz,XGBoost
VCC_f5_sum_loop,0.03173157,harfbuzz,XGBoost
VCC_f6_nb_added_if,0.03476165,harfbuzz,XGBoost
VCC_f7_nb_removed_if,0.012215756,harfbuzz,XGBoost
VCC_f8_diff_if,0.021583147,harfbuzz,XGBoost
VCC_f9_sum_if,0.017927816,harfbuzz,XGBoost
VCC_s10_nb_removed_INTMAX,0.0,harfbuzz,XGBoost
VCC_s11_nb_added_goto,0.0016810728,harfbuzz,XGBoost
VCC_s12_nb_removed_goto,0.00035340904,harfbuzz,XGBoost
VCC_s13_nb_added_define,0.012641355,harfbuzz,XGBoost
VCC_s14_nb_removed_define,0.0068914886,harfbuzz,XGBoost
VCC_s15_nb_added_struct,0.003439881,harfbuzz,XGBoost
VCC_s16_nb_removed_struct,0.0033811105,harfbuzz,XGBoost
VCC_s17_diff_struct,0.0023167713,harfbuzz,XGBoost
VCC_s18_sum_struct,0.0027265623,harfbuzz,XGBoost
VCC_s19_nb_added_offset,0.0044339863,harfbuzz,XGBoost
VCC_s1_nb_added_sizeof,0.01965538,harfbuzz,XGBoost
VCC_s20_nb_removed_offset,0.0018838395,harfbuzz,XGBoost
VCC_s21_nb_added_void,0.013883265,harfbuzz,XGBoost
VCC_s22_nb_removed_void,0.011809905,harfbuzz,XGBoost
VCC_s23_diff_void,0.008992843,harfbuzz,XGBoost
VCC_s24_sum_void,0.010149855,harfbuzz,XGBoost
VCC_s2_nb_removed_sizeof,0.013282705,harfbuzz,XGBoost
VCC_s3_diff_sizeof,0.005560975,harfbuzz,XGBoost
VCC_s4_sum_sizeof,0.014687873,harfbuzz,XGBoost
VCC_s5_nb_added_continue,0.0065552937,harfbuzz,XGBoost
VCC_s6_nb_removed_continue,0.003453359,harfbuzz,XGBoost
VCC_s7_nb_added_break,0.011748507,harfbuzz,XGBoost
VCC_s8_nb_removed_break,0.004844454,harfbuzz,XGBoost
VCC_s9_nb_added_INTMAX,0.0003714004,harfbuzz,XGBoost
VCC_w1,0.021278113,harfbuzz,XGBoost
VCC_w10,0.009858307,harfbuzz,XGBoost
