project,builds_per_day
cppcheck,1
nbclassic,1
cups,1
golang-protobuf,1
httpcomponents-core,1
mariadb,1
simdutf,1
mbedtls,1
jmh,1
spring-data-mongodb,1
turf,1
jsc,1
irssi,1
shaderc,1
pytz,1
sonic,1
jdom,1
tinyusb,1
hugo,1
iverilog,1
valijson,1
crosvm,1
wolfmqtt,1
wpantund,1
protoc-gen-validate,1
bc-gh,1
jsonschema,1
librawspeed,1
java-uuid-generator,1
jupyter-nbconvert,1
libidn,1
halide,1
apache-poi,1
netty-tcnative,1
pygments,1
cifuzz-example,1
redis-rs,1
lcms,1
dapr,1
tungstenite-rs,1
json-flattener,1
librosa,1
fluxcd,1
spicy,1
json,1
glslang,1
osgi,1
spring-cloud-commons,1
gcloud-go,1
plexus-utils,1
joda-convert,1
go-sqlite3,1
lz4,1
tidy-html5,1
lucene,1
wasmedge,1
cfengine,1
ansible,1
piex,1
wtforms,1
syzkaller,1
zookeeper,1
lzma,1
sound-open-firmware,1
php,1
args,1
dnsmasq,1
libvnc,1
pugixml,1
micronaut,1
simd,1
util-linux,4
p9,1
qemu,1
jul-to-slf4j,1
yaml-cpp,1
go-readline,1
oauth2,1
ntp,1
mp4parse-rust,1
python-phonenumbers,1
apache-commons-text,1
rich,1
go-pprof,1
globaleaks-whistleblowing-software,1
xs,1
quiche,1
spring-data-keyvalue,1
abseil-py,1
istio-ztunnel,1
validators,1
ecc-diff-fuzzer,1
cctz,1
mupdf,1
ninja,1
jbig2dec,1
apache-commons-cli,1
ygot,1
vlc,1
powsybl-java,1
spring-cloud-config,1
defusedxml,1
groovy,1
zipp,1
spring-integration,1
apache-httpd,1
apache-commons-csv,1
image-png,1
g-api-auth-httplib2,1
ohc,1
jfreechart,1
xz,1
realm-core,1
arduinojson,1
varnish,1
surrealdb,1
matio,1
canvg,1
sqlite3,1
mccabe,1
typescript,1
e2fsprogs,1
mongoose,1
nghttp2,1
xnio-api,1
libpng,1
bz2file,1
js-yaml,1
jedi,1
inih,1
cffi,1
nettle,1
ttf-parser,1
fontations,1
evo-inflector,1
libzip,1
jupyter_server,1
janus-gateway,1
htslib,1
xbps,1
websockets,1
java-xmlbuilder,1
