strategy,project,date,scheduled_additional_builds
strategy1_median,ghostscript,2022-07-14 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-15 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-20 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-21 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-23 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-28 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-29 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-30 00:00:00+00:00,5
strategy1_median,ghostscript,2022-07-31 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-04 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-10 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-11 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-12 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-13 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-17 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-18 00:00:00+00:00,5
strategy1_median,ghostscript,2022-08-27 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-01 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-14 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-15 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-16 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-17 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-21 00:00:00+00:00,5
strategy1_median,ghostscript,2022-09-28 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-07 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-13 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-15 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-16 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-21 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-26 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-28 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-29 00:00:00+00:00,5
strategy1_median,ghostscript,2022-10-30 00:00:00+00:00,5
strategy1_median,ghostscript,2022-11-17 00:00:00+00:00,5
strategy1_median,ghostscript,2022-11-18 00:00:00+00:00,5
strategy1_median,ghostscript,2022-11-25 00:00:00+00:00,5
strategy1_median,ghostscript,2022-11-26 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-01 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-02 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-07 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-08 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-10 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-14 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-16 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-17 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-18 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-19 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-21 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-22 00:00:00+00:00,5
strategy1_median,ghostscript,2022-12-23 00:00:00+00:00,5
strategy1_median,ghostscript,2023-02-09 00:00:00+00:00,5
strategy1_median,ghostscript,2023-02-15 00:00:00+00:00,5
strategy1_median,ghostscript,2023-02-16 00:00:00+00:00,5
strategy1_median,ghostscript,2023-02-17 00:00:00+00:00,5
strategy1_median,ghostscript,2023-02-25 00:00:00+00:00,5
strategy1_median,ghostscript,2023-03-02 00:00:00+00:00,5
strategy1_median,ghostscript,2023-03-03 00:00:00+00:00,5
strategy1_median,ghostscript,2023-03-15 00:00:00+00:00,5
strategy1_median,ghostscript,2023-04-12 00:00:00+00:00,5
strategy1_median,ghostscript,2023-04-14 00:00:00+00:00,5
strategy1_median,ghostscript,2023-04-22 00:00:00+00:00,5
strategy1_median,ghostscript,2023-05-06 00:00:00+00:00,5
strategy1_median,ghostscript,2023-05-19 00:00:00+00:00,5
strategy1_median,ghostscript,2023-05-20 00:00:00+00:00,5
strategy1_median,ghostscript,2023-05-25 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-01 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-03 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-04 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-08 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-15 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-28 00:00:00+00:00,5
strategy1_median,ghostscript,2023-06-29 00:00:00+00:00,5
